title,price,discount_price,discount,resolution,screen_width,os,cpu,cpu_proc_speed,gpu,ram,storage,front_camera,rear_camera,battery,size,weight,brand,link
iPad (Gen 9) Wifi 64GB,9490000.0,7690000.0,19%,1620 x 2160 Pixels,"10.2""",iPadOS 15,Apple A13 Bionic,6 nhân,Apple GPU 4 nhân,3GB,64 GB,"12 MP, HDR, Quay video Full HD, Tự động lấy nét (AF)","8 MP, FullHD 1080p@25fps, FullHD 1080p@30fps, HD 720p@30fps; Chạm lấy nét; Gắn thẻ địa lý; HDR; Nhận diện khuôn mặt; Toàn cảnh (Panorama); Tự động lấy nét (AF); Zoom kỹ thuật số",32.4 Wh (~ 8600 mAh),Dài 250.6 mm - Ngang 174.1 mm - Dày 7.5 mm,487 g,,https://viettelstore.vn/may-tinh-bang/ipad-gen-9-wifi-64gb-pid288698.html
iPad (Gen 9) LTE 64GB,12990000.0,10190000.0,22%,1620 x 2160 Pixels,"10.2""",iPadOS 15,Apple A13 Bionic,2 nhân 2.65 GHz & 4 nhân 1.8 GHz,Apple GPU 4 nhân,3 GB,64 GB,12 MP; HDR; Quay video Full HD; Tự động lấy nét (AF),8 MP; FullHD 1080p@25fps; FullHD 1080p@30fps; HD 720p@30fps; Chạm lấy nét; Gắn thẻ địa lý; HDR; Nhận diện khuôn mặt; Toàn cảnh (Panorama); Tự động lấy nét (AF); Zoom kỹ thuật số,32.4 Wh (~ 8600 mAh),Dài 250.6 mm - Ngang 174.1 mm - Dày 7.5 mm,498 g,,https://viettelstore.vn/may-tinh-bang/ipad-gen-9-lte-64gb-pid288700.html
Samsung Galaxy Tab A7 Lite,4490000.0,2790000.0,38%,1340 x 800 (WXGA+),"8.7"" (220.5mm)",,"Quad 2.3GHz,Quad 1.8GHz; Octa-Core; Mediatek MT8768T",,,3GB,32GB,Front Camera 2.0 MP,Rear Camera 8.0 MP; Auto Focus,5100mAh,212.5 x 124.7 x 8.0mm,371g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-a7-lite-pid198041.html
Samsung Galaxy Tab S8+ 5G,25990000.0,21490000.0,17%,2800 x 1752,"12.4""",Android 12,"Snapdragon® 8 Gen 1; 2.99GHz, 2.4GHz, 1.7GHz",,Adreno730,8GB,128GB,"12.0 MP, Góc siêu rộng, Auto-framing","13.0 + 6.0 MP, UHD 4K (3840 x 2160), @30fps, Có Flash Tự động lấy nét, Góc siêu rộng, Đèn Flash",10090 mAh,Dài 185.0 mm - Ngang 285.0 mm - Dày 5.7 mm,572gr,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s8-pid289029.html
iPad Gen 10 WIFI 64GB,11990000.0,10990000.0,8%,1640 x 2360 Pixels,10.9 inch,iPadOS 16,Apple A14 Bionic 6 nhân,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,Apple GPU 4 nhân,4 GB,64 GB,12 MP,12 MP,28.6 Wh (~ 7587 mAh),Dài 248.6 mm - Ngang 179.5 mm - Dày 7 mm,Nặng 477 g,,https://viettelstore.vn/may-tinh-bang/ipad-gen-10-wifi-64gb-pid295660.html
iPad Air (Gen 5) WIFI 64GB,15990000.0,13590000.0,15%,1640 x 2360 Pixels,"10.9""",iPadOS 15,Apple M1,8 nhân,Apple GPU 8 nhân,8 GB,64 GB,"12 MP; Bộ lọc màu, Góc rộng, Live Photos, Quay video HD, Tự động lấy nét (AF)","12 MP; Quay phim: 4K 2160p@24fps, 4K 2160p@25fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@25fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps; Góc rộng, Gắn thẻ địa lý, HDR, Quay chậm (Slow Motion), Toàn cảnh (Panorama), Tua nhanh thời gian (Time‑lapse), Tự động lấy nét (AF), Zoom kỹ thuật số",28.6 Wh (~ 7587 mAh),Dài 247.6 mm - Ngang 178.5 mm - Dày 6.1 mm,461 g,,https://viettelstore.vn/may-tinh-bang/ipad-air-gen-5-wifi-64gb-pid289288.html
iPad (Gen 9) LTE 256GB,16990000.0,14490000.0,15%,,,,,,,,256 GB,,,,Dài 250.6 mm - Ngang 174.1 mm - Dày 7.5 mm,498 g,,https://viettelstore.vn/may-tinh-bang/ipad-gen-9-lte-256gb-pid288701.html
iPad Gen 10 WIFI 5G 256GB,19990000.0,18890000.0,6%,1640 x 2360 Pixels,10.9 inch,iPadOS 16,Apple A14 Bionic 6 nhân,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,Apple GPU 4 nhân,4 GB,256 GB,12 MP,12 MP,28.6 Wh (~ 7587 mAh),Dài 248.6 mm - Ngang 179.5 mm - Dày 7 mm,Nặng 477 g,,https://viettelstore.vn/may-tinh-bang/ipad-gen-10-5g-256gb-pid295663.html
iPad Pro 11 (2022) WIFI 128GB,21990000.0,19990000.0,9%,1668 x 2388 Pixels,11 inch,iPadOS 16,Apple M2,8 nhân,Apple GPU 10 nhân,8 GB,128 GB,12 MP,12 MP,28.65 Wh (~ 7538 mAh),Dài 247.6 mm - Ngang 178.5 mm - Dày 5.9 mm,Nặng 466 g,,https://viettelstore.vn/may-tinh-bang/ipad-pro-11-2022-wifi-128gb-pid295667.html
iPad Gen 10 WIFI 256GB,15990000.0,14790000.0,8%,1640 x 2360 Pixels,10.9 inch,iPadOS 16,Apple A14 Bionic 6 nhân,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,Apple GPU 4 nhân,4 GB,256 GB,12 MP,12 MP,28.6 Wh (~ 7587 mAh),Dài 248.6 mm - Ngang 179.5 mm - Dày 7 mm,Nặng 477 g,,https://viettelstore.vn/may-tinh-bang/ipad-gen-10-wifi-256gb-pid295661.html
